,name,psnr,ssim
0,Set12\01,30.191228163934596,0.9293695389920308
1,Set12\02,33.11234213417196,0.9438588516491823
2,Set12\03,30.812637146435993,0.9390154732693675
3,Set12\04,29.253299372207216,0.9239653758333939
4,Set12\05,30.47122238934948,0.9552563394588475
5,Set12\06,29.061122451375716,0.9312383534721546
6,Set12\07,29.430274776255665,0.9264779292000751
7,Set12\08,32.43596290358521,0.9423500083692273
8,Set12\09,29.84987817263363,0.9331051072901902
9,Set12\10,30.20768050310252,0.9088878160172568
10,Set12\11,30.06040787126971,0.9078169383292168
11,Set12\12,30.11476752278543,0.9148624883330468
12,Average,30.416735283925593,0.9296836850178325
