,name,psnr,ssim
0,Kodak24\kodim01,32.40596546217172,0.9569580354216741
1,Kodak24\kodim02,35.142491286443615,0.9547242061067914
2,Kodak24\kodim03,38.062089626591074,0.9787010669418748
3,Kodak24\kodim04,35.7734291923759,0.9596634519204033
4,Kodak24\kodim05,33.519203012238854,0.9733983964811207
5,Kodak24\kodim06,33.895182964140595,0.9606068026801214
6,Kodak24\kodim07,37.39922622907176,0.9834560930518311
7,Kodak24\kodim08,33.36111737097407,0.9722610564559465
8,Kodak24\kodim09,37.45751118030656,0.9769094383676903
9,Kodak24\kodim10,37.1685980466293,0.9741233910658691
10,Kodak24\kodim11,34.08540503892249,0.9597131551952041
11,Kodak24\kodim12,36.107768275087366,0.962829165560965
12,Kodak24\kodim13,31.31695080009919,0.9516593636525132
13,Kodak24\kodim14,33.33052644871481,0.9577448919513657
14,Kodak24\kodim15,34.79276141447467,0.9561284552819177
15,Kodak24\kodim16,35.25607725514162,0.9617972879737097
16,Kodak24\kodim17,35.23630047989646,0.9645843214542923
17,Kodak24\kodim18,33.31539790127357,0.957200006275853
18,Kodak24\kodim19,35.13465163791285,0.97065631760217
19,Kodak24\kodim20,36.78670416456547,0.9744377327207697
20,Kodak24\kodim21,34.27213372825949,0.9680237063749147
21,Kodak24\kodim22,34.30310802096579,0.9559452019147106
22,Kodak24\kodim23,37.125405759080806,0.9752592234692176
23,Kodak24\kodim24,34.51554997421604,0.9692742505738426
24,Average,34.99014813623141,0.9656689591039487
