,name,psnr,ssim
0,Kodak24\kodim01,27.905773077643715,0.8836040844202682
1,Kodak24\kodim02,31.52975549807409,0.9076208919693259
2,Kodak24\kodim03,34.14884927593179,0.9543144569486369
3,Kodak24\kodim04,32.19247959405727,0.9188061189961608
4,Kodak24\kodim05,28.613745547411416,0.9231389771426174
5,Kodak24\kodim06,29.536978601303044,0.9039719201296924
6,Kodak24\kodim07,32.82708500292514,0.960040519059321
7,Kodak24\kodim08,28.82431062338447,0.9341639471157616
8,Kodak24\kodim09,33.76744513280548,0.9593679711944639
9,Kodak24\kodim10,33.33145122827156,0.95047868733849
10,Kodak24\kodim11,29.86377114435608,0.9091764816327804
11,Kodak24\kodim12,32.550833133182934,0.9254619491242729
12,Kodak24\kodim13,26.5055013036543,0.8649117586985943
13,Kodak24\kodim14,28.970162631262074,0.8961427348559429
14,Kodak24\kodim15,31.014395622473398,0.9071942051637433
15,Kodak24\kodim16,31.284955668250593,0.91244208684518
16,Kodak24\kodim17,31.21739344778703,0.9229438083797902
17,Kodak24\kodim18,28.923773519401628,0.8972081207852772
18,Kodak24\kodim19,31.198102463476385,0.9390770763458353
19,Kodak24\kodim20,32.983313059432774,0.9478654533823191
20,Kodak24\kodim21,29.9154466757357,0.9289524152996447
21,Kodak24\kodim22,30.430130181494274,0.9047592375629984
22,Kodak24\kodim23,33.27178379195218,0.9526780888303482
23,Kodak24\kodim24,29.8781178685481,0.920976176789118
24,Average,30.861898087200643,0.9218873820004411
